hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2500,38,0,1.0,1.0,1.0,1.0,0.0,0,2,3,1,1,0,600.0,0.0,,100.0,34.707455,0.0,1982.49,0.0,0.0,0.0,1.0,0.0
2501,38,0,1.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,3000.0,0.0,,91.0,27.765963,83.29789,4952.06,0.0,0.0,0.0,1.0,0.0
2502,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,20500.0,17076.06803558646,1.0,68.0,69.41491,0.0,2934.585,166.59578,166.59578,0.0,1.0,0.0
2503,38,0,0.0,1.0,3.0,3.0,0.0,0,2,3,1,1,0,76000.0,49978.73571391159,1.0,98.0,1638.1919,916.2768,9988.11,1378.5801,8533.869,0.0,0.5,2290.6921
2504,38,0,1.0,1.0,3.0,2.0,1.0,0,2,3,1,1,0,308000.0,166595.78571303864,1.0,233.0,499.78735,0.0,6318.7007,70207.63,89401.96,1.0,1.0,1416.0642
2505,38,0,1.0,1.0,2.0,3.0,0.0,0,2,3,1,1,0,29000.0,0.0,,56.0,118.00535,83.29789,5283.3076,0.0,0.0,0.0,,0.0
2506,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,2000.0,1665.9578571303864,,84.0,308.89636,20.824472,2401.617,0.0,0.0,0.0,1.0,0.0
2507,38,0,0.0,1.0,2.0,3.0,0.0,0,2,3,1,1,0,5000.0,4164.894642825966,,128.0,888.5108,41.648945,6048.2603,0.0,0.0,0.0,1.0,0.0
2508,38,0,0.0,1.0,2.0,1.0,1.0,0,2,3,1,1,0,0.0,0.0,1.0,46.0,62.47342,149.9362,4320.9395,129.94472,166.59578,0.0,1.0,6330.6396
2509,38,0,0.0,1.0,1.0,0.0,0.0,0,2,3,1,1,0,33800.0,24156.388928390603,,0.0,208.24474,770.5055,9194.005,0.0,0.0,0.0,,0.0
2510,38,0,0.0,1.0,3.0,2.0,0.0,0,2,3,1,1,0,56000.0,33319.15714260773,,229.0,0.0,249.89368,7154.4556,0.0,0.0,0.0,,0.0
2511,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,5000.0,0.0,,60.0,902.3938,2165.745,13675.293,0.0,0.0,0.0,,0.0
2512,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,2000.0,1665.9578571303864,,96.0,104.12237,1249.4684,8184.2954,0.0,0.0,0.0,1.0,0.0
2513,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,7000.0,1665.9578571303864,,96.0,124.94684,0.0,2608.6123,0.0,0.0,0.0,,0.0
2514,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,0.0,0.0,0.0,107.0,1895.027,666.3831,6944.5454,6759.624,7496.8105,1.0,,0.0
2515,38,0,1.0,1.0,2.0,3.0,0.0,0,2,3,1,1,0,10000.0,4997.873571391159,,140.0,645.55865,0.0,3815.0435,0.0,0.0,0.0,1.0,0.0
2516,38,0,0.0,1.0,3.0,2.0,0.0,0,2,3,1,1,0,8000.0,0.0,,130.0,0.0,583.08527,7778.0796,0.0,0.0,0.0,,0.0
2517,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,10000.0,0.0,0.0,0.0,381.782,83.29789,2756.605,0.0,0.0,0.0,1.0,0.0
2519,38,0,0.0,1.0,2.0,2.0,1.0,0,2,3,1,1,0,15000.0,0.0,0.5,74.0,157.57185,0.0,4810.3145,7426.0073,9262.726,0.0,1.0,42898.414
2520,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,22000.0,0.0,,0.0,201.30324,0.0,3899.869,0.0,0.0,0.0,1.0,0.0
2521,38,0,0.0,1.0,2.0,3.0,0.0,0,2,3,1,1,0,50000.0,8329.789285651932,,90.0,763.564,799.6598,4379.2485,0.0,0.0,0.0,1.0,0.0
2522,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,4000.0,0.0,,76.0,192.97345,0.0,3295.1257,0.0,0.0,0.0,,0.0
2523,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,65000.0,41648.94642825966,0.0,104.0,69.41491,233.2341,6505.0103,4997.8735,46646.82,0.0,0.0,22490.432
2524,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,360000.0,166595.78571303864,1.0,63.0,104.12237,666.3831,8378.797,-106121.516,18825.324,0.0,1.0,27488.305
2525,38,0,1.0,1.0,1.0,0.0,0.0,0,2,3,1,1,0,8000.0,0.0,,50.0,104.12237,62.47342,2968.876,0.0,0.0,0.0,0.0,0.0
2526,38,0,0.0,1.0,3.0,2.0,1.0,0,2,3,1,1,0,1500.0,0.0,1.0,229.0,208.24474,1249.4684,6573.453,7230.2573,9995.747,0.0,1.0,40399.477
