,n_per_pol,sim_num,num_pools,MSE,IOU,min_dosage,best_pol_diff
1141,100,30,8,0.9545325384738261,0.5,True,-0.027288006958880118
1142,100,30,9,0.953871323619182,1.0,True,0.006376102741467271
1143,100,30,9,0.9515049959994843,1.0,True,0.006376102741467271
1144,100,31,4,1.3630980642735102,0.6666666666666666,True,0.5507103810579412
1145,100,31,6,1.3615265915828143,0.6666666666666666,True,0.5507103810579412
1146,100,31,6,1.3618523814502124,0.6666666666666666,True,0.5507103810579412
1147,100,31,6,1.24988292701681,0.5,True,0.005837303572532093
1148,100,31,6,1.0164668590372896,1.0,True,0.0663725088863183
1149,100,31,8,1.0140928104845175,0.5,True,0.005837303572532093
1150,100,31,9,1.0147799541673421,1.0,True,0.0663725088863183
1151,100,31,9,1.0149332101984292,1.0,True,0.0663725088863183
1152,100,32,4,1.3704374172170435,0.6666666666666666,True,0.5218094569176106
1153,100,32,6,1.368411654385236,0.6666666666666666,True,0.5218094569176106
1154,100,32,6,1.3693273961683985,0.6666666666666666,True,0.5218094569176106
1155,100,32,6,1.2755435314169086,0.5,True,0.09019190648062025
1156,100,32,6,0.9532458557548318,1.0,True,0.006364798992660958
1157,100,32,8,0.9523511300854856,0.5,False,-0.07746230849529745
1158,100,32,9,0.9507607288791721,1.0,True,0.006364798992660958
1159,100,32,9,0.9509929428618653,1.0,True,0.006364798992660958
1160,100,33,4,1.3136391562513756,0.6666666666666666,True,0.5393719878895737
1161,100,33,6,1.312519628785478,0.6666666666666666,True,0.5393719878895737
1162,100,33,6,1.3133055565146277,0.6666666666666666,True,0.5393719878895737
1163,100,33,6,1.2337681730508732,0.5,True,0.16874205068184978
1164,100,33,6,0.9842896128843202,1.0,True,0.1280718674739747
1165,100,33,8,0.9840815303325391,0.5,False,0.08740168426609873
1166,100,33,9,0.982644041843541,1.0,True,0.1280718674739747
1167,100,33,9,0.9838910422236387,1.0,True,0.1280718674739747
1168,100,34,4,1.40722188574064,0.6666666666666666,True,0.482298698386173
1169,100,34,6,1.294752004294831,0.5,True,0.011766430405600659
1170,100,34,6,1.0231075608961924,1.0,True,-0.015010477613124351
1171,100,34,8,1.021570447944567,0.5,False,-0.04178738563184847
1172,100,34,9,1.0225640887426108,1.0,True,-0.015010477613124351
1173,100,34,9,1.0225758473320412,1.0,True,-0.015010477613124351
1174,100,35,4,1.385368727803571,0.6666666666666666,True,0.5329391415946176
1175,100,35,6,1.384540556113453,0.6666666666666666,True,0.5329391415946176
1176,100,35,6,1.3842618428615174,0.6666666666666666,True,0.5329391415946176
1177,100,35,6,1.3248045632322833,0.5,True,0.07461713681480919
1178,100,35,6,1.0174823754481053,1.0,True,0.04408098300264207
1179,100,35,8,1.012308133849186,0.5,False,0.013544829190475838
1180,100,35,9,1.0160224866210492,1.0,True,0.04408098300264207
1181,100,35,9,1.0163561876038,1.0,True,0.04408098300264207
1182,100,36,4,1.3026149830456877,0.6666666666666666,True,0.5719952177514731
1183,100,36,6,1.302540631825061,0.6666666666666666,True,0.5719952177514731
1184,100,36,6,1.3024667546186999,0.6666666666666666,True,0.5719952177514731
1185,100,36,4,1.5960787377323933,0.3333333333333333,False,0.7665172107732312
1186,100,36,6,1.1953074391508671,0.5,True,0.1829512317079569
1187,100,36,4,1.4543939486944744,0.6666666666666666,True,1.0779956524451082
1188,100,36,6,1.2906020083389456,0.5,False,0.0298968839647209
1189,100,36,6,0.8909839405560259,1.0,True,0.1064240578363389
1190,100,36,8,0.8898307097574194,0.5,False,0.0298968839647209
1191,100,36,9,0.8900528987676526,1.0,True,0.1064240578363389
1192,100,36,9,0.8908259059443904,1.0,True,0.1064240578363389
1193,100,37,4,1.3685252232591074,0.6666666666666666,True,0.40973204221270887
1194,100,37,6,1.3682829314432197,0.6666666666666666,True,0.40973204221270887
1195,100,37,6,1.3663451642520335,0.6666666666666666,True,0.40973204221270887
1196,100,37,6,1.2706136676122448,0.5,True,-0.10343236443875448
1197,100,37,6,0.9970017682543023,1.0,True,-0.07515417130971702
1198,100,37,8,0.9968754913497838,0.5,True,-0.10343236443875448
1199,100,37,9,0.9950515587186723,1.0,True,-0.07515417130971702
1200,100,37,9,0.9943979078602894,1.0,True,-0.07515417130971702
1201,100,38,4,1.3990184817355418,0.6666666666666666,True,0.5126407623419542
1202,100,38,6,1.3967122496000337,0.6666666666666666,True,0.5126407623419542
1203,100,38,6,1.3984491213029915,0.6666666666666666,True,0.5126407623419542
1204,100,38,6,1.291795130513397,0.5,True,-0.07258207396677818
1205,100,38,6,1.0354623336129725,1.0,True,0.04520206951868122
1206,100,38,8,1.0336265139102312,0.5,True,-0.07258207396677818
1207,100,38,9,1.033099040986894,1.0,True,0.04520206951868122
1208,100,38,9,1.034171626374806,1.0,True,0.04520206951868122
1209,100,39,4,1.3800484032677118,0.6666666666666666,True,0.43596028497370565
1210,100,39,6,1.378175476983476,0.6666666666666666,True,0.43596028497370565
1211,100,39,6,1.3785485711200056,0.6666666666666666,True,0.43596028497370565
1212,100,39,6,1.3158087414380861,0.5,True,0.0603282373400722
