,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
135,100,35,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
136,100,36,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
137,100,37,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
138,100,38,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
139,100,39,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
140,100,40,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
141,100,41,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
142,100,42,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
143,100,43,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
144,100,44,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
145,100,45,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
146,100,46,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
147,100,47,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
148,100,48,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
149,100,49,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
150,100,50,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
151,100,51,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
152,100,52,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
153,100,53,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
154,100,54,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
155,100,55,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
156,100,56,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
157,100,57,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
158,100,58,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
159,100,59,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
160,100,60,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
161,100,61,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
162,100,62,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
163,100,63,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
164,100,64,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
165,100,65,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
166,100,66,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
167,100,67,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
168,100,68,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
169,100,69,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
170,100,70,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
171,100,71,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
172,100,72,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
173,100,73,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
174,100,74,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
175,100,75,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
176,100,76,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
177,100,77,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
178,100,78,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
179,100,79,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
180,100,80,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
181,100,81,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
182,100,82,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
183,100,83,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
