,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff
202,1000,2,1.0016800438934994,1.0,True,-0.03704560447547145
203,1000,3,1.0016800438934994,1.0,True,-0.03704560447547145
204,1000,4,1.0016800438934994,1.0,True,-0.03704560447547145
205,1000,5,1.0016800438934994,1.0,True,-0.03704560447547145
206,1000,6,1.0016800438934994,1.0,True,-0.03704560447547145
207,1000,7,1.0016800438934994,1.0,True,-0.03704560447547145
208,1000,8,1.0016800438934994,1.0,True,-0.03704560447547145
209,1000,9,1.0016800438934994,1.0,True,-0.03704560447547145
210,1000,10,1.0016800438934994,1.0,True,-0.03704560447547145
211,1000,11,1.0016800438934994,1.0,True,-0.03704560447547145
212,1000,12,1.0016800438934994,1.0,True,-0.03704560447547145
213,1000,13,1.0016800438934994,1.0,True,-0.03704560447547145
214,1000,14,1.0016800438934994,1.0,True,-0.03704560447547145
215,1000,15,1.0016800438934994,1.0,True,-0.03704560447547145
216,1000,16,1.0016800438934994,1.0,True,-0.03704560447547145
217,1000,17,1.0016800438934994,1.0,True,-0.03704560447547145
218,1000,18,1.0016800438934994,1.0,True,-0.03704560447547145
219,1000,19,1.0016800438934994,1.0,True,-0.03704560447547145
220,1000,20,1.0016800438934994,1.0,True,-0.03704560447547145
221,1000,21,1.0016800438934994,1.0,True,-0.03704560447547145
222,1000,22,1.0016800438934994,1.0,True,-0.03704560447547145
223,1000,23,1.0016800438934994,1.0,True,-0.03704560447547145
224,1000,24,1.0016800438934994,1.0,True,-0.03704560447547145
225,1000,25,1.0016800438934994,1.0,True,-0.03704560447547145
226,1000,26,1.0016800438934994,1.0,True,-0.03704560447547145
227,1000,27,1.0016800438934994,1.0,True,-0.03704560447547145
228,1000,28,1.0016800438934994,1.0,True,-0.03704560447547145
229,1000,29,1.0016800438934994,1.0,True,-0.03704560447547145
230,1000,30,1.0016800438934994,1.0,True,-0.03704560447547145
231,1000,31,1.0016800438934994,1.0,True,-0.03704560447547145
232,1000,32,1.0016800438934994,1.0,True,-0.03704560447547145
233,1000,33,1.0016800438934994,1.0,True,-0.03704560447547145
